Node,Planet,Mission Type,Faction,AI Spec,Mission Rewards,Drone Damage,Drone Damage Chance
Rosalind,Uranus,Spy,Grineer,GrineerSquadFour,IntelMissionRewardsA,0 - 0,0
Cupid,Uranus,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Setebos,Uranus,Sabotage,Grineer,GrineerSquadTwo,,0 - 0,0
Perdita,Uranus,Deception,Grineer,GrineerSquadSix,,0 - 0,0
Puck,Uranus,Extermination,Grineer,GrineerSquadOne,,0 - 0,0
Mab,Uranus,Rescue,Grineer,GrineerSquadFour,RescueMissionRewardsMedium,0 - 0,0
Prospero,Uranus,Sabotage,Grineer,GrineerSquadTwo,,0 - 0,0
Caliban,Uranus,Rescue,Grineer,GrineerSquadFive,,0 - 0,0
Stephano,Uranus,Interception,Grineer,GrineerDefenseA,InterceptionMissionRewardsMedium,0 - 0,0
Trinculo,Uranus,Capture,Grineer,GrineerSquadThree,,0 - 0,0
Sycorax,Uranus,Extermination,Grineer,GrineerSquadOne,,0 - 0,0
Naiad,Neptune,Deception,Corpus,CorpusSquadC,,0 - 0,0
Thalassa,Neptune,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsHard,0 - 0,0
Despina,Neptune,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsHard,0 - 0,0
Galatea,Neptune,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Larissa,Neptune,Mobile Defense,Corpus,CorpusSquadA,,0 - 0,0
Proteus,Neptune,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsHard,0 - 0,0
Triton,Neptune,Survival,Corpus,CorpusSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Nereid,Neptune,Rescue,Corpus,CorpusSquadC,RescueMissionRewardsHard,0 - 0,0
Halimede,Neptune,Sabotage,Corpus,CorpusSquadC,,0 - 0,0
Sao,Neptune,Deception,Corpus,CorpusSquadA,,0 - 0,0
Laomedeia,Neptune,Spy,Corpus,CorpusSquadB,IntelMissionRewardsA,0 - 0,0
Neso,Neptune,Extermination,Corpus,CorpusSquadB,,0 - 0,0
Psamathe,Neptune,Assassination,Corpus,CorpusSquadA,LokiRewards,0 - 0,0
Minthe,Pluton,Mobile Defense,Corpus,CorpusSquadA,,0 - 0,0
Hades,Pluton,Assassination,Corpus,CorpusSquadA,ExcaliburRewards,0 - 0,0
Charon,Pluton,Sabotage,Corpus,CorpusSquadB,,0 - 0,0
Outer Terminus,Pluton,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsHard,0 - 0,0
Hydra,Pluton,Capture,Corpus,CorpusSquadA,CaptureMissionRewardsA,0 - 0,0
Acheron,Pluton,Extermination,Corpus,CorpusSquadB,,0 - 0,0
Regna,Pluton,Rescue,Corpus,CorpusSquadC,,0 - 0,0
Narcissus,Pluton,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsHard,0 - 0,0
Cypress,Pluton,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Cerberus,Pluton,Interception,Corpus,CorpusSquadA,InterceptionMissionRewardsHard,0 - 0,0
Oceanum,Pluton,Spy,Corpus,CorpusSquadC,IntelMissionRewardsA,0 - 0,0
Palus,Pluton,Survival,Corpus,CorpusSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Nix,Pluton,Deception,Corpus,CorpusSquadC,,0 - 0,0
Pallas,Ceres,Sabotage,Grineer,GrineerShipyardsA,,0 - 0,0
Bode,Ceres,Capture,Grineer,GrineerShipyardsA,,0 - 0,0
Vedic,Ceres,Extermination,Grineer,GrineerShipyardsA,,0 - 0,0
Varro,Ceres,Defense,Grineer,GrineerShipyardsDefenseA,DefenseMissionRewardsHard,0 - 0,0
Thon,Ceres,Sabotage,Grineer,GrineerShipyardsA,,0 - 0,0
Olla,Ceres,Rescue,Grineer,GrineerShipyardsA,,0 - 0,0
Nuovo,Ceres,Survival,Grineer,GrineerShipyardsSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Ludi,Ceres,Extermination,Grineer,GrineerShipyardsA,,0 - 0,0
Lex,Ceres,Spy,Grineer,GrineerSquadFour,,0 - 0,0
Kiste,Ceres,Mobile Defense,Grineer,GrineerShipyardsA,,0 - 0,0
Ker,Ceres,Deception,Grineer,CorpusGrineerMix,,0 - 0,0
Hapke,Ceres,Capture,Grineer,GrineerShipyardsA,,0 - 0,0
Gefion,Ceres,MT_RETRIEVAL,Grineer,GrineerShipyardsA,,0 - 0,0
Exta,Ceres,Assassination,Grineer,GrineerShipyardsA,FrostRewards,0 - 0,0
Egeria,Ceres,Survival,Grineer,GrineerShipyardsSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Draco,Ceres,Interception,Grineer,GrineerSquadFour,InterceptionMissionRewardsHard,0 - 0,0
Cinxia,Ceres,Rescue,Grineer,GrineerShipyardsA,RescueMissionRewardsHard,0 - 0,0
Cerium,Ceres,MT_RETRIEVAL,Grineer,GrineerShipyardsA,,0 - 0,0
Casta,Ceres,Defense,Grineer,GrineerShipyardsDefenseA,DefenseMissionRewardsHard,0 - 0,0
Albedo,Ceres,Deception,Grineer,CorpusGrineerMix,,0 - 0,0
Acanth,Eris,Extermination,Corpus,CorpusSquadA,,0 - 0,0
Ascar,Eris,Spy,Corpus,CorpusSquadB,IntelMissionRewardsA,0 - 0,0
Brugia,Eris,Rescue,Corpus,CorpusSquadC,RescueMissionRewardsMedium,0 - 0,0
Candiru,Eris,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Cosis,Eris,Capture,Corpus,CorpusSquadA,CaptureMissionRewardsA,0 - 0,0
Cyath,Eris,Mobile Defense,Corpus,CorpusSquadA,,0 - 0,0
Giardia,Eris,Spy,Corpus,CorpusSquadB,IntelMissionRewardsA,0 - 0,0
Gnathos,Eris,Defense,Corpus,CorpusSquadDefenseA,MissionRewardsCorpus,0 - 0,0
Lepis,Eris,Sabotage,Corpus,CorpusSquadC,,0 - 0,0
Histo,Eris,Extermination,Corpus,CorpusSquadA,,0 - 0,0
Hymeno,Eris,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Isos,Eris,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Ixodes,Eris,Defense,Corpus,CorpusSquadDefenseA,MissionRewardsCorpus,0 - 0,0
Kala-azar,Eris,Defense,Corpus,CorpusSquadDefenseA,MissionRewardsCorpus,0 - 0,0
Naeglar,Eris,Extermination,Corpus,CorpusSquadC,,0 - 0,0
Nimus,Eris,Survival,Corpus,CorpusSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Oestrus,Eris,Deception,Corpus,CorpusSquadC,,0 - 0,0
Phalan,Eris,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Psoro,Eris,Sabotage,Corpus,CorpusSquadB,,0 - 0,0
Ranova,Eris,Rescue,Corpus,CorpusSquadA,,0 - 0,0
Saxis,Eris,Extermination,Corpus,CorpusSquadB,,0 - 0,0
Xini,Eris,Defense,Corpus,CorpusSquadDefenseA,MissionRewardsCorpus,0 - 0,0
Solium,Eris,Deception,Corpus,CorpusSquadC,,0 - 0,0
Sparga,Eris,Rescue,Corpus,CorpusSquadB,,0 - 0,0
Sporid,Eris,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Viver,Eris,Interception,Corpus,CorpusSquadDefenseA,InterceptionMissionRewardsHard,0 - 0,0
Kappa,Sedna,Mobile Defense,Grineer,GrineerSquadSix,,0 - 0,0
Hyosube,Sedna,Sabotage,Grineer,GrineerSquadSix,,0 - 0,0
Jengu,Sedna,Rescue,Grineer,GrineerSquadSix,,0 - 0,0
Undine,Sedna,Sabotage,Grineer,GrineerSquadTwo,CaptureMissionRewardsA,0 - 0,0
Adaro,Sedna,Extermination,Grineer,GrineerSquadSix,,0 - 0,0
Camenae,Sedna,Defense,Grineer,GrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Vodyanoi,Sedna,Mobile Defense,Grineer,GrineerSquadOne,,0 - 0,0
Rusalka,Sedna,Deception,Grineer,GrineerSquadSix,,0 - 0,0
Berehynia,Sedna,Interception,Grineer,GrineerSurvivalA,InterceptionMissionRewardsMedium,0 - 0,0
Phithale,Sedna,Sabotage,Grineer,GrineerSquadFour,,0 - 0,0
Selkie,Sedna,Survival,Grineer,GrineerSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Kelpie,Sedna,Sabotage,Grineer,GrineerSquadFive,,0 - 0,0
Naga,Sedna,Rescue,Grineer,GrineerSquadSix,,0 - 0,0
Nakki,Sedna,Sabotage,Grineer,GrineerSquadSix,,0 - 0,0
Marid,Sedna,Extermination,Grineer,GrineerSquadSix,,0 - 0,0
Tikoloshe,Sedna,Spy,Grineer,GrineerSquadSix,,0 - 0,0
Merrow,Sedna,Assassination,Grineer,GrineerSquadFive,SarynRewards,0 - 0,0
Ponaturi,Sedna,Deception,Grineer,GrineerSquadFour,,0 - 0,0
Hydron,Sedna,Defense,Grineer,GrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Charybdis,Sedna,Deception,Grineer,GrineerSquadSix,,0 - 0,0
Graeae,Sedna,Mobile Defense,Grineer,GrineerSquadThree,,0 - 0,0
Scylla,Sedna,Spy,Grineer,GrineerSquadSix,,0 - 0,0
Yam,Sedna,Sabotage,Grineer,GrineerSquadSix,,0 - 0,0
Veles,Sedna,Rescue,Grineer,GrineerSquadSix,,0 - 0,0
Tiamat,Sedna,Capture,Grineer,GrineerSquadSix,CaptureMissionRewardsA,0 - 0,0
Yemaja,Sedna,Survival,Grineer,GrineerSurvivalA,SurvivalHighLevelRewards,0 - 0,0
Abaddon,Europa,Capture,Corpus,CorpusSquadA,CaptureMissionRewardsA,0 - 0,0
Armaros,Europa,Interception,Corpus,CorpusSquadA,InterceptionMissionRewardsMedium,0 - 0,0
Baal,Europa,Mobile Defense,Corpus,CorpusSquadC,,0 - 0,0
Eligor,Europa,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Gamygyn,Europa,Spy,Corpus,CorpusSquadC,IntelMissionRewardsA,0 - 0,0
Lillith,Europa,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Morax,Europa,Spy,Corpus,CorpusSquadB,IntelMissionRewardsA,0 - 0,0
Naamah,Europa,Assassination,Corpus,CorpusSquadA,NovaRewards,0 - 0,0
Ose,Europa,Survival,Corpus,CorpusSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Paimon,Europa,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Shax,Europa,Rescue,Corpus,CorpusSquadA,,0 - 0,0
Sorath,Europa,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Valac,Europa,Deception,Corpus,CorpusSquadC,,0 - 0,0
Valefor,Europa,Defense,Corpus,CorpusSquadDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Orias,Europa,Spy,Corpus,CorpusSquadB,,0 - 0,0
Zagan,Europa,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Beleth,Europa,Capture,Corpus,CorpusSquadB,CaptureMissionRewardsA,0 - 0,0
Kokabiel,Europa,Sabotage,Corpus,CorpusSquadA,,0 - 0,0
Conclave,Saturne,MT_PVP,Grineer,,,0 - 0,0
Conclave,Vénus,MT_PVP,Corrupted,,,0 - 0,0
Conclave,Phobos,MT_PVP,Corrupted,,,0 - 0,0
Conclave,Neptune,MT_PVP,Corpus,,,0 - 0,0
Conclave,Eris,MT_PVP,Corpus,,,0 - 0,0
Conclave,Europa,MT_PVP,Corpus,,,0 - 0,0
Conclave,Pluton,MT_PVP,Corpus,,,0 - 0,0
Conclave,Sedna,MT_PVP,Grineer,,,0 - 0,0
Conclave,Jupiter,MT_PVP,Corpus,,,0 - 0,0
Balor,Mercure,Sabotage,Grineer,GrineerSquadSabotageEvent,,0 - 0,0
Tethra,Vénus,Sabotage,Grineer,GrineerSquadSabotageEvent,,0 - 0,0
Tethra's Doom,Terre,Sabotage,Grineer,GrineerSquadSabotageEvent,,0 - 0,0
Elatha,Mars,?,?,?,?,0 - 0,0
Bres,Jupiter,?,?,?,?,0 - 0,0
Birog,Saturne,?,?,?,?,0 - 0,0
Ethniu,Uranus,?,?,?,?,0 - 0,0
Buarainech,Neptune,?,?,?,?,0 - 0,0
Corb,Pluton,?,?,?,?,0 - 0,0
Conand,Ceres,?,?,?,?,0 - 0,0
Lugh,Eris,?,?,?,?,0 - 0,0
Nemed,Sedna,?,?,?,?,0 - 0,0
Neit,Europa,?,?,?,?,0 - 0,0
Romula,Vénus,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Malva,Vénus,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsLowLevelRewards,0 - 0,0
Roche,Phobos,Extermination,Grineer,DesertGrineerSquadOne,,0 - 0,0
Skyresh,Phobos,Deception,Grineer,DesertGrineerSquadOne,,0 - 0,0
Stickney,Phobos,Survival,Grineer,GrineerSettlementSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Drunlo,Phobos,Defense,Grineer,DesertGrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Grildrig,Phobos,Rescue,Grineer,DesertGrineerSquadOne,,0 - 0,0
Limtoc,Phobos,Capture,Grineer,DesertGrineerSquadOne,,0 - 0,0
Hall,Phobos,Mobile Defense,Grineer,DesertGrineerSquadOne,,0 - 0,0
Reldresal,Phobos,Sabotage,Grineer,DesertGrineerSquadOne,,0 - 0,0
Clustril,Phobos,Extermination,Grineer,DesertGrineerSquadOne,,0 - 0,0
Kepler,Phobos,Defense,Grineer,DesertGrineerDefenseA,DefenseMissionRewardsMedium,0 - 0,0
Gulliver,Phobos,Rescue,Grineer,DesertGrineerSquadOne,,0 - 0,0
Monolith,Phobos,Rescue,Grineer,DesertGrineerSquadOne,,0 - 0,0
D'Arrest,Phobos,Sabotage,Grineer,DesertGrineerSquadOne,,0 - 0,0
Shklovsky,Phobos,Spy,Grineer,DesertGrineerSquadOne,,0 - 0,0
Sharpless,Phobos,Mobile Defense,Grineer,DesertGrineerSquadOne,,0 - 0,0
Wendell,Phobos,Survival,Grineer,GrineerSettlementSurvivalA,SurvivalMidLevelRewards,0 - 0,0
Flimnap,Phobos,Deception,Grineer,DesertGrineerSquadOne,,0 - 0,0
Opik,Phobos,Interception,Grineer,DesertGrineerDefenseA,InterceptionMissionRewardsMedium,0 - 0,0
Todd,Phobos,Capture,Grineer,DesertGrineerSquadOne,,0 - 0,0
Iliad,Phobos,Assassination,Grineer,DesertGrineerSquadOne,MiterGremlinsRewards,0 - 0,0
Vesper Relay,Vénus,MT_PVP,Corrupted,,,0 - 0,0
Strata Relay,Terre,MT_PVP,Corrupted,,,0 - 0,0
Coba,Terre,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Tikal,Terre,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsLowLevelRewards,0 - 0,0
Sinai,Jupiter,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Cameria,Jupiter,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsLowLevelRewards,0 - 0,0
Larzac,Europa,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Cholistan,Europa,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsMidLevelRewards,0 - 0,0
Kadesh,Mars,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Wahiba,Mars,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsLowLevelRewards,0 - 0,0
Memphis,Phobos,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Zeugma,Phobos,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsMidLevelRewards,0 - 0,0
Caracol,Saturne,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Piscinas,Saturne,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsLowLevelRewards,0 - 0,0
Amarna,Sedna,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsMidLevelRewards,0 - 0,0
Sangeru,Sedna,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Ur,Uranus,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Assur,Uranus,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsMidLevelRewards,0 - 0,0
Akkad,Eris,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Zabala,Eris,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsHighLevelRewards,0 - 0,0
Yursa,Neptune,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Kelashin,Neptune,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsHighLevelRewards,0 - 0,0
Seimeni,Ceres,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Gabii,Ceres,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsHighLevelRewards,0 - 0,0
Sechura,Pluton,Defense,Infestation,InfestedDefenseA,BadlandsDefenseMissionRewards,0 - 0,0
Hieracon,Pluton,Survival,Infestation,InfestedSurvivalA,SurvivalBadlandsHighLevelRewards,0 - 0,0
DerelictDefense,-,Defense,Infestation,InfestedDefenseA,DerelictDefenseRewards,? - ?,?
DerelictCapture,-,Capture,Infestation,InfestedCorpusMixSquadA,,? - ?,?
DerelictSurvival,-,Survival,Infestation,InfestedSurvivalA,DerelictSurvivalRewards,? - ?,?
DerelictExterminate,-,Extermination,Infestation,InfestedGrineerMixSquadA,,? - ?,?
DerelictAssassinate,-,Assassination,Infestation,InfestedSquadA,GolemMissionRewards,? - ?,?
VoidExterminateT1,-,Extermination,Corrupted,OrokinSquadOne,OrokinExterminateRewardsA,? - ?,?
VoidSurvivalT1,-,Survival,Corrupted,OrokinSurvivalA,OrokinSurvivalRewardsA,? - ?,?
VoidExterminateT2,-,Extermination,Corrupted,OrokinSquadOne,OrokinExterminateRewardsB,? - ?,?
VoidSurvivalT2,-,Survival,Corrupted,OrokinSurvivalA,OrokinSurvivalRewardsB,? - ?,?
VoidExterminateT3,-,Extermination,Corrupted,OrokinSquadOne,OrokinExterminateRewardsC,? - ?,?
VoidDefenseT1,-,Defense,Corrupted,OrokinDefenseSquad,OrokinDefenseRewardsA,? - ?,?
VoidDefenseT2,-,Defense,Corrupted,OrokinDefenseSquad,OrokinDefenseRewardsB,? - ?,?
VoidDefenseT3,-,Defense,Corrupted,OrokinDefenseSquad,OrokinDefenseRewardsC,? - ?,?
VoidCaptureT1,-,Capture,Corrupted,OrokinSquadOne,OrokinCaptureRewardsA,? - ?,?
VoidCaptureT2,-,Capture,Corrupted,OrokinSquadOne,OrokinCaptureRewardsB,? - ?,?
VoidCaptureT3,-,Capture,Corrupted,OrokinSquadOne,OrokinCaptureRewardsC,? - ?,?
VoidMobileDefenseT1,-,Mobile Defense,Corrupted,OrokinSquadOne,OrokinMobileDefenseRewardsA,? - ?,?
